year,Guillemot BS,Razorbill BS,Puffin BS,Shag BS,Kittiwake BS,Fulmar BS,Guillemot nests,Razorbill nests,Puffin nests,Shag nests,Kittiwake nests,Fulmar nests
1982,0.78,0.53,0.92,,,,522,53,124,,,
1983,0.77,0.68,0.79,,,,607,60,168,,,
1984,0.69,0.63,0.88,,,,657,73,100,,,
1985,0.82,0.76,0.79,,,,656,78,100,,,
1986,0.81,0.7,0.8,,,,767,84,136,,,
1987,0.8,0.68,0.93,1.1,1.2,0.47,757,89,100,288,1291,69
1988,0.85,0.69,0.88,0.69,0.77,0.31,731,98,100,221,1187,64
1989,0.85,0.78,0.88,1.13,1.13,0.54,750,97,164,234,1327,93
1990,0.8,0.76,0.66,0.37,0.14,0.24,746,87,176,154,1149,66
1991,0.83,0.72,0.78,1,0.24,0.42,755,94,153,187,1172,100
1992,0.84,0.86,0.87,0.75,0.65,0.47,766,105,184,181,1062,129
1993,0.77,0.72,0.69,0.18,0.06,0.44,792,121,182,80,1034,121
1994,0.78,0.69,0.85,0.68,0.23,0.47,777,134,189,74,861,122
1995,0.8,0.62,0.83,0.83,0.39,0.48,802,142,181,131,874,126
1996,0.83,0.63,0.78,0.99,0.56,0.44,787,139,173,105,825,135
1997,0.78,0.7,0.65,0.96,0.4,0.37,837,129,166,109,822,136
1998,0.74,0.57,0.73,0.86,0.02,0.35,850,134,179,125,683,120
1999,0.67,0.52,0.58,0.21,0.22,0.47,870,144,181,58,616,115
2000,0.74,0.68,0.73,1.53,0.94,0.37,931,147,182,127,545,143
2001,0.64,0.6,0.77,1.68,0.62,0.26,975,167,185,135,459,134
2002,0.7,0.65,0.72,1.76,0.45,0.48,955,167,174,130,477,131
2003,0.7,0.59,0.76,1.58,0.76,0.44,1014,178,195,156,423,109
2004,0.51,0.53,0.6,0.25,0.29,0.21,983,190,196,103,476,97
2005,0.63,0.57,0.7,0.48,0.85,0.27,945,194,184,42,675,135
2006,0.41,0.64,0.78,1.22,0.47,0.4,932,190,166,81,613,139
2007,0.28,0.63,0.35,1.07,0.24,0.21,850,188,158,57,609,141
2008,0.63,0.58,0.48,1.9,0.23,0.2,806,170,179,60,485,121
2009,0.76,0.61,0.72,2.02,0.7,0.44,823,180,176,61,491,147
2010,0.8,0.68,0.74,2.04,0.29,0.34,847,175,169,77,494,176
2011,0.72,0.5,0.79,1.54,0.87,0.36,838,174,173,104,449,149
2012,0.79,0.56,0.57,1.18,0.98,0.13,812,195,167,108,470,157
2013,0.69,0.48,0.7,1.2,0.41,0.47,797,191,163,55,351,167
2014,0.72,0.53,0.68,1.58,1.17,0.56,826,213,192,55,403,142
2015,0.78,0.6,0.75,1.91,1.07,0.52,914,219,193,57,569,121
2016,0.66,0.45,0.76,2.1,0.78,0.43,972,211,186,52,497,143
