"Year","var","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
1986,"tmax",3.3,0.9,6.5,7,12.3,16.1,16.7,14.3,13.5,11.3,8.4,5.4,3.41,8.64,15.7,11.07,9.7
1987,"tmax",2.4,4.7,5.3,11.2,11.8,13.2,16.9,16.4,14.1,9.6,6.8,6.1,4.16,9.41,15.52,10.14,9.9
1988,"tmax",4.8,5.3,6.6,9.4,13,17,15.8,16.4,14.3,10.5,7,8.2,5.41,9.69,16.39,10.6,10.72
1989,"tmax",8.1,6.5,7.6,7.9,14,16,19.9,16.9,14.5,12,7,4.2,7.63,9.88,17.63,11.16,11.26
1990,"tmax",6.5,6.6,9,10.2,14,15.1,17.5,17.9,13.7,11.3,6.8,5.3,5.73,11.08,16.86,10.59,11.19
1991,"tmax",3.8,3.5,8.4,9.4,13.1,13.6,18.2,18.4,15.4,10.3,7.2,6.2,4.21,10.31,16.78,10.96,10.68
1992,"tmax",5.7,6.7,7.5,9.3,14.6,17.5,16.7,15.8,13.3,8.4,7.3,4.3,6.2,10.48,16.64,9.62,10.59
1993,"tmax",5.9,7,7.7,9.8,11.8,15.4,15.8,15.5,13.3,8.8,5.3,4,5.72,9.77,15.6,9.13,10.05
1994,"tmax",4.6,3.1,7,9.1,11.8,15.5,18.3,16.4,13.6,10.7,9.7,6.3,3.92,9.29,16.74,11.33,10.55
1995,"tmax",4.5,5.7,5.7,9.8,12.8,16.2,19.1,20.7,14.3,13.2,8.3,2.7,5.51,9.42,18.68,11.98,11.12
1996,"tmax",4.7,4,4.6,9.6,10.6,16.1,17.5,18.1,15.2,12.1,5.8,3.9,3.8,8.25,17.23,11.06,10.2
1997,"tmax",4.3,6.6,9.3,11,12.5,14.7,18.4,19.6,15,11.4,8.6,6.2,4.88,10.94,17.58,11.63,11.49
1998,"tmax",5.5,8.8,8.3,8.1,13.8,14.6,16,16.5,15.1,9.9,6.8,6.6,6.78,10.1,15.72,10.59,10.85
1999,"tmax",5,5.4,7.9,10.7,13.4,15,18.4,16.9,16.3,11.4,8.5,4.2,5.71,10.66,16.78,12.08,11.13
2000,"tmax",6.2,6.2,8.8,8.9,13.9,14.9,16.6,17.7,14.9,11,6.9,5.3,5.56,10.54,16.39,10.96,10.97
2001,"tmax",3.6,4.6,5.4,8.9,15.3,14.8,17.3,17.3,14,13.2,8.7,4.8,4.52,9.89,16.5,11.99,10.72
2002,"tmax",6.4,6.3,8.4,10.8,13.4,15.6,16.6,18.1,15.6,9.7,8.1,5.2,5.83,10.86,16.78,11.15,11.21
2003,"tmax",5.2,5.4,10.1,12,13.3,17.4,19.2,19.3,16,10.6,9.2,6,5.27,11.81,18.63,11.94,12.02
2004,"tmax",5.5,6.2,8.1,10.9,14.7,16.4,16.9,18,15.4,10.6,8.6,7,5.86,11.22,17.1,11.54,11.53
2005,"tmax",7.1,5.3,8.2,10.2,12.7,16.9,18.1,17.7,16,12.4,7.5,5.9,6.5,10.36,17.55,11.93,11.52
